Project,Client,Title,Duration
SOS1920-01,,D03,10:52:54
SOS1920-01,,D03  integraciones externas y css,06:00:00
SOS1920-01,,D03 integraciones,02:00:00
SOS1920-01,,Ficha del trabajo a partir de la plantilla,00:14:10
SOS1920-01,,Finishs Integraions D03,02:56:43
SOS1920-01,,Integraciones,07:40:00
SOS1920-01,,Integraciones de Apis,22:21:00
SOS1920-01,,Integrations D03,17:27:59
SOS1920-01,,Slack y Apis de compañeros,01:30:48
SOS1920-01,,Tare opcional - Realizar Heroku,01:01:13
SOS1920-01,,Tarea 1,04:11:18
SOS1920-01,,Tarea 1 - Creación de issues y milestone,01:18:49
SOS1920-01,,Tarea 1 - Creación de las issue para F02,00:44:22
SOS1920-01,,"Tarea 10, haber completado el perfil (nombre, apellidos y fotografía) en la herramienta Piazza",00:08:21
SOS1920-01,,"Tarea 13, Recurso Time",00:35:17
SOS1920-01,,Tarea 3,02:01:02
SOS1920-01,,Tarea 3 - Tracking de tiempo en toggl,01:57:11
SOS1920-01,,Tarea 4,01:16:18
SOS1920-01,,Tarea 4 - Creación de issue,00:22:05
SOS1920-01,,Tarea 4 : Tener la menos 3 horas dedicadas,03:43:40
SOS1920-01,,Tarea 5,01:49:53
SOS1920-01,,Tarea 6. POSTMAN,09:34:13
SOS1920-01,,Tarea 6. Realizar tracking de tiempo,00:03:32
SOS1920-01,,Tarea 6. Tener un conjunto de pruebas de postman de la API.,04:02:38
SOS1920-01,,Tarea 7-Instalación de POSTMAN,01:31:48
SOS1920-01,,Tarea 8,02:21:15
SOS1920-01,,Tarea 8. Registrar información en el repositorio común de la asignatura,00:39:01
SOS1920-01,,Tarea 9,03:18:28
SOS1920-01,,Test- Travis,04:05:33
SOS1920-01,,Travis y Heroku,03:33:00
,,,00:00:00
